name,free_returns,items_sold,price,shipping,status
Puma 082921-03 World Cup Non-Licensed Fan Ball Mens Soccer Cleats     - Black -,True,324,1099,0,Brand New
Fifa world cup 2022 Qatar Al Rihla pro match ball size 5 White / Pantone,True,0,5999,0,Brand New
BRAZUCA ADIDAS SOCCER MATCH BALL FIFA WORLD CUP 2014 BRAZIL SIZE 5 ,True,70,5234,0,Brand New
ADIDAS UEFA OFFICIAL CHAMPIONS LEAGUE SOCCER BALL SAINT  PETERSBERG SIZE 5,True,,5998,0,Brand New
Size 5 Soccer Ball  Black White,True,,1095,0,Brand New
"Puma 082821-27 One Chrome  Ball Mens Soccer Cleats     - Black,Silver - Size 5",True,717,1599,0,Brand New
Soccer Ball FIFA WORLD CUP 1982 Size 5  Ball European Panel,True,,1195,0,Brand New
FIFA World Cup 2022 Al Rihla Soccer Ball Size 5,True,,2900,0,Brand New
ADIDAS MLS- NATIVO QUESTRA OFFICIAL SOCCER MATCH BALL - 2019,True,,5005,0,Brand New
Puma 08191001 Tcc  Ball Mens Soccer Cleats     - Green - Size 5,True,200,1499,0,Brand New
"Puma 082943-01 Italia Final Mini  Ball Mens Soccer Cleats     - Blue,White -",True,205,899,0,Brand New
"Adidas Team Sala Soccer Ball, Futsal, White/Maroon/Blue/Silver",True,185,1899,0,Brand New
Brine Attack Soccer Ball Size 5 New Sealed,True,,1500,901,Brand New
Club America Authentic Official Licensed Soccer Ball Size 5 on sales,True,34,1199,0,Brand New
BRAZUCA WORLD CUP 2014 BRAZIL FOOTBALL BALL SIZE 5,True,,3199,1199,Brand New
Adidas Jabulani Official Soccer Ball FIFA World Cup 2010 South Africa Match Ball,True,,6999,0,Brand New
Nike Magia Soccer Match Ball Size 5 NFHS,True,,1999,935,Pre-Owned
Puma 083401-01 La Liga 1 Ms  Ball Mens Soccer Cleats     - White - Size 3,True,485,1499,0,Brand New
Fifa World Cup Qatar 2022 Adidas Soccer Ball Size 5 Blue,True,0,2999,0,Brand New
Adidas Champions League 2022 Soccer Ball Final size 5,True,0,5500,0,Brand New
ADIDAS UEFA OFFICIAL CHAMPIONS LEAGUE SOCCER BALL ST. PETE PRO BALL SIZE 5,True,,7900,0,Brand New
RAPIDDER Football Top Quality Official Match ball Size 5 - Spedster soccer ,True,,1800,0,Brand New
GoSports Classic Soccer Ball 6 Pack - Size 4 - Premium Bargain Bundle Pack,True,97,3999,0,Brand New
Nike FIFA Quality Premier Team Soccer Balls Size 5,True,0,3000,0,Brand New
Adidas Al Rihla FIFA World Cup Soccer Ball Size 5,True,0,5500,0,Brand New
ADIDAS Nativo 21 Club Match SOCCER Ball RED / WHITE Size 5 NEW,True,0,2200,0,Brand New
Voit Lummo Liga Bancomer MX Apertura 2018 Official Ball soccer Size 5,True,,3400,0,Brand New
Nike Academy  Team International Match Standard Aerowsculpt Soccer Ball Size 5,True,,3999,0,Brand New
Telstar Match Football Soccer Ball World Cup 2018 SIZE 5,True,,2999,1199,Brand New
Icon Sports FC Barcelona Soccer Ball Officially Licensed Size 5 06-2,True,,2099,0,Brand New
"Arsenal Soccer Ball (Size 2), Licensed Arsenal Ball # 2",True,0,1295,0,Brand New
ADIDAS RIHLA TRAINING WORLD CUP QATAR 2022 BALL H57798,True,0,3999,0,Brand New
Mont Blanc Perfumes Soccer Ball,True,0,1050,1099,Pre-Owned
Adidas FiFa Al Rihla World Cup Ball Qatar 2022 Official Size 5 Training H57798,True,31,3899,0,Brand New
Nike Aerowsculpt  Academy Team International Match Standard Soccer Ball Size 4,True,,3999,0,Brand New
10 BALLS- Al Rihla Soccer Ball FIFA World Cup 2022 Size 5,True,,4900,0,Brand New
"Puma 082823-22 One Chrome Mini  Ball Mens Soccer Cleats     - Black,Red - Size",True,94,999,0,Brand New
Fifa World Cup Qatar 2022 Adidas Soccer Ball Size 5 Green,True,0,2999,0,Brand New
Nike Copa America 2021 Strike Official Soccer Football Ball White Red Black Blue,True,,4499,0,Brand New
Perrini Soccer Ball All Weather Indoor Outdoor Official Size 5,True,0,1799,0,Brand New
"New ListingAuthentic and 100% Original 1990 Adidas ""Etrusco Unico"" World Cup Ball. France.",True,,200000,0,New (Other)
"Soccer ball, Training Soccer ball 5 or 10 pack (size 5)",True,,5000,0,Pre-Owned
FIFA WORLD CUP FULL SIZE SOCCER BALL INTERNATIONAL COUNTRY FLAGS OFFICIAL SIZE 5,True,1086,1595,0,Brand New
New ListingNike T90 Aerow ll | Blue l The Premier league | Official Match Ball l Size 5,True,,3900,0,Brand New
ADIDAS BRAZUCA SOCCER BALL FOOTBALL MATCH BALL SIZE 5 FIFA WORLD CUP 2014,True,,6500,0,Brand New
Adidas Team Match Pro Omb Fifa Approved top quality soccer ball Size 5,True,,4900,0,Brand New
BRAZUCA ADIDAS SOCCER MATCH BALL FIFA WORLD CUP 2014 BRAZIL SIZE 5,True,,5000,0,Brand New
nike soccer ball size 5 CU8047-100 NWT,True,,3999,0,Brand New
